,url,title,published at,description,view count,comment count,like count,category,Consultation date
18,https://www.youtube.com/watch?v=0LDb2w3MMuM,La ley que más me irrita de todas #shorts,2023-05-02T21:00:00Z,"La ley que más me irrita de todas

#parati #fyp #inercia
------------------
🌌 La aventura del conocimiento: https://amautas.com/
📚 Date Un Libro: https://bit.ly/dateunlibro
🤳TikTok: https://www.tiktok.com/@jasantaolalla
📸 Instagram: https://www.instagram.com/jasantaolalla
🥳 Date Un Vlog: https://www.youtube.com/c/Dateunvlog
⚡ Date Un Voltio: https://www.youtube.com/c/DateunVoltio
🧛‍♂️ Edición: https://linktr.ee/ikefuti",946913,398,112298,Science & Technology,2024-10-29
19,https://www.youtube.com/watch?v=4cH-Anf2ShY,Albert Einstein ¿un fraude?,2024-01-15T18:19:01Z,,2507422,4161,214954,Science & Technology,2024-10-29
20,https://www.youtube.com/watch?v=npvs23AapUw,Computación cuántica #short,2023-06-15T22:10:26Z,"Computación cuántica
También es cosa de teleco
@telecorenta 

#telecomunicaciones #Telecomunicación #teleco",574562,318,57781,Science & Technology,2024-10-29
21,https://www.youtube.com/watch?v=jv7H8O7hnBI,Tales y la altura de las piramides #shorts,2023-06-30T23:56:09Z,,2088196,919,189177,Science & Technology,2024-10-29
22,https://www.youtube.com/watch?v=moAYeuriAtQ,Gato de schrodinger,2024-10-06T16:43:56Z,,166679,238,18498,Science & Technology,2024-10-29
23,https://www.youtube.com/watch?v=zMc7Hu5GAe4,Perreo Cuántico (THE SUMMER REMIX) - Javi Moreno ft. Javier Santaolalla,2020-08-07T18:01:09Z,"#PerreoCuántico #TheSummerMix #Verano2020
Qué mejor forma de entrar de lleno en agosto que con el Perreo Cuántico (The Summer Mix) y con el pedazo de crack de Javi Moreno.
Que la música nos agote el cuerpo bailando y que la física nos ponga a perrear.
❤️🌞Feliz verano a todas y todos. Disfrutad hasta el último segundo.🌞❤️

Aquí podéis seguir al gran Javi Moreno:
https://www.instagram.com/javitimoreno/
https://twitter.com/javitimoreno/
https://www.facebook.com/javimoreno.efectopasillo/
https://www.efectopasillo.com/

------------------
🔴Nos vemos en Twitch:
https://www.twitch.tv/jasantaolalla

📸Pueden seguirme en mi instagram:
https://www.instagram.com/jasantaolalla

⚡Date Un Voltio:
https://www.youtube.com/channel/UCns-8DssCBba7M4nu7wk7Aw

🥳Date Un Mí:
https://www.youtube.com/channel/UCy0wRL70l-nAOvQHmO8i7ZQ

🧪La Vaca Esférica:
https://www.youtube.com/channel/UCGzltD1SMc2PySB3KR8_fFw

👨🏻Os saluda el editor:
https://www.instagram.com/ikefuti

------------------
👕Mis camis en Mindangos:
https://www.mindangos.com/en/14_javier-santaolalla",342607,2744,32691,Science & Technology,2024-10-29
24,https://www.youtube.com/watch?v=Ddvp4nGlNOE,De los neumáticos a las velas #shorts,2024-05-16T18:00:06Z,"Una forma de reducir el consumo de energía con @MichelinGlobal

#MICHELIN #UnexpectedMotion #OnTheRoadAndBeyond #WISAMO

-----------------------
🌌 La aventura del conocimiento:
https://amautas.com/
🤳TikTok:
https://www.tiktok.com/@jasantaolalla
📸 Instagram:
https://www.instagram.com/jasantaolalla
⚡ Date Un Voltio:
https://www.youtube.com/channel/UCns-8DssCBba7M4nu7wk7Aw
🥳 Date Un Short:
https://www.youtube.com/channel/UCy0wRL70l-nAOvQHmO8i7ZQ
📚 Date Un Libro:
https://bit.ly/dateunlibro",115070,188,11531,Science & Technology,2024-10-29
25,https://www.youtube.com/watch?v=tktqdlJdeH4,¿De qué trabaja un físico? Salidas profesionales de un licenciado en físicas,2016-12-23T14:21:19Z,"Informe de Randstad: https://randstad-es-pro.s3.amazonaws.com/wp-content/uploads/2016/07/ciencias-tecnologia-ingenierias-y-matematicas-las-areas-con-mas-oportunidades-laborales.pdf

PDF del libro: https://dl.dropboxusercontent.com/u/73822143/9_EL%20CERN_20p.pdf

Agradecimientos: a todos los amigos físicos que han querido participar en el vídeo (Keller, Xabi, Garo, Javiera, Diana...)

Mi libro en Amazon: https://www.amazon.es/bos%C3%B3n-Higgs-hacer-Fuera-colecci%C3%B3n-ebook/dp/B01KZKPS1K

Suscríbete a mi canal principal, Date Un Voltio:
https://www.youtube.com/channel/UCns-8DssCBba7M4nu7wk7Aw/featured
Sígueme en Twitter
https://twitter.com/JaSantaolalla
Facebook
https://www.facebook.com/Javier-Santaolalla-Date-un-Voltio-343219849200135/
Instagram
@Jasantaolalla",266929,2609,14890,People & Blogs,2024-10-29
26,https://www.youtube.com/watch?v=EXFvghAkZCk,La física de un árbol #short,2023-06-02T18:36:27Z,La física de un árbol,5764621,2737,448907,Science & Technology,2024-10-29
27,https://www.youtube.com/watch?v=ZAju2R3aNNU,El oro del Nobel de Bohr #short,2023-07-23T03:27:38Z,,1464902,624,106659,Science & Technology,2024-10-29
